PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Set,Group,GroupNumber,CabinDeck,CabinNumber,CabinSide,FirstName,LastName,Bills,GroupSize,PotentialDecks,PotentialSides
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,Train,0001,01,B,0,P,Maham,Ofracculy,0.0,1,,
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,Train,0002,01,F,0,S,Juanna,Vines,736.0,1,,
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,Train,0003,01,A,0,S,Altark,Susent,10383.0,2,,
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,Train,0003,02,A,0,S,Solam,Susent,5176.0,2,,
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,Train,0004,01,F,1,S,Willy,Santantines,1091.0,1,,
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,Train,0005,01,F,0,P,Sandie,Hinetthews,774.0,1,,
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,Train,0006,01,F,2,S,Billex,Jacostaffey,1584.0,2,,
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey,True,Train,0006,02,G,0,S,Candra,Jacostaffey,0.0,2,,
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,Train,0007,01,F,3,S,Andona,Beston,1018.0,1,,
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,Train,0008,01,B,1,P,Erraiam,Flatic,0.0,3,,
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic,True,Train,0008,02,B,1,P,Altardr,Flatic,0.0,3,,
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,Train,0008,03,B,1,P,Wezena,Flatic,8157.0,3,,
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,Train,0009,01,F,1,P,Berers,Barne,1309.0,1,,
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,Train,0010,01,G,1,S,Reney,Baketton,809.0,1,,
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,Train,0011,01,F,2,P,Elle,Bertsontry,1003.0,1,,
0012_01,Earth,False,G/2/S,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,Train,0012,01,G,2,S,Justie,Pooles,908.0,1,"['E', 'F', 'G']","['P', 'S']"
0013_01,Earth,True,G/3/S,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Nelly Carsoning,,Test,0013,01,G,3,S,Nelly,Carsoning,0.0,1,,
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle,False,Train,0014,01,F,3,P,Flats,Eccle,,1,,
