PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Set,Transported,Group,GroupNumber,Deck,Number,Side,FirstName,LastName,GroupSize,Bills
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,Train,False,0001,01,B,0.0,P,Maham,Ofracculy,1,0.0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,Train,True,0002,01,F,0.0,S,Juanna,Vines,1,736.0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,Train,False,0003,01,A,0.0,S,Altark,Susent,2,10383.0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,Train,False,0003,02,A,0.0,S,Solam,Susent,2,5176.0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,Train,True,0004,01,F,1.0,S,Willy,Santantines,1,1091.0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,Train,True,0005,01,F,0.0,P,Sandie,Hinetthews,1,774.0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,Train,True,0006,01,F,2.0,S,Billex,Jacostaffey,2,1584.0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey,Train,True,0006,02,G,0.0,S,Candra,Jacostaffey,2,0.0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,Train,True,0007,01,F,3.0,S,Andona,Beston,1,1018.0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,Train,True,0008,01,B,1.0,P,Erraiam,Flatic,3,0.0
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic,Train,True,0008,02,B,1.0,P,Altardr,Flatic,3,0.0
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,Train,True,0008,03,B,1.0,P,Wezena,Flatic,3,8157.0
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,Train,True,0009,01,F,1.0,P,Berers,Barne,1,1309.0
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,Train,False,0010,01,G,1.0,S,Reney,Baketton,1,809.0
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,Train,True,0011,01,F,2.0,P,Elle,Bertsontry,1,1003.0
0012_01,Earth,False,,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,Train,False,0012,01,,,,Justie,Pooles,1,908.0
0013_01,Earth,True,G/3/S,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Nelly Carsoning,Test,,0013,01,G,3.0,S,Nelly,Carsoning,1,0.0
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle,Train,False,0014,01,F,3.0,P,Flats,Eccle,1,
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,Train,False,0015,01,F,4.0,P,Carry,Hughriend,1,638.0
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,Train,True,0016,01,F,5.0,P,Alus,Upead,1,0.0
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,Train,True,0017,01,G,0.0,P,Lyde,Brighttt,2,0.0
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,Train,False,0017,02,F,6.0,P,Philda,Brighttt,2,1092.0
0018_01,Earth,False,F/4/S,TRAPPIST-1e,19.0,False,0.0,9.0,0.0,2823.0,0.0,Lerome Peckers,Test,,0018,01,F,4.0,S,Lerome,Peckers,1,2832.0
0019_01,Europa,True,C/0/S,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Sabih Unhearfus,Test,,0019,01,C,0.0,S,Sabih,Unhearfus,1,0.0
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,Train,False,0020,01,E,0.0,S,Almary,Brantuarez,6,0.0
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,Train,False,0020,02,E,0.0,S,Glendy,Brantuarez,6,0.0
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,Train,False,0020,03,E,0.0,S,Mollen,Mcfaddennon,6,0.0
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,Train,True,0020,04,E,0.0,S,Breney,Jacostanley,6,0.0
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,,0.0,0.0,0.0,0.0,Mael Brantuarez,Train,False,0020,05,E,0.0,S,Mael,Brantuarez,6,0.0
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,Train,False,0020,06,E,0.0,S,Terta,Mcfaddennon,6,0.0
0021_01,Europa,False,C/1/S,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,Meratz Caltilter,Test,,0021,01,C,1.0,S,Meratz,Caltilter,1,7418.0
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,,Train,False,0022,01,D,0.0,P,,,1,1051.0
0023_01,Earth,False,F/5/S,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,Brence Harperez,Test,,0023,01,F,5.0,S,Brence,Harperez,1,645.0
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,,0.0,0.0,Penton Fullided,Train,True,0024,01,C,2.0,S,Penton,Fullided,1,0.0
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,Train,False,0025,01,F,6.0,S,Karard,Brookenson,1,1223.0
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,Train,False,0026,01,C,0.0,P,Anyoni,Unconary,1,7861.0
0027_01,Earth,False,F/7/P,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,Karlen Ricks,Test,,0027,01,F,7.0,P,Karlen,Ricks,1,2051.0
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,Train,False,0028,01,F,8.0,P,Ceros,Mare,1,1309.0
0029_01,Europa,True,B/2/P,55 Cancri e,21.0,False,0.0,,0.0,0.0,0.0,Aldah Ainserfle,Test,,0029,01,B,2.0,P,Aldah,Ainserfle,1,0.0
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,Train,False,0030,01,G,4.0,S,Ginia,Morsentley,1,1821.0
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,Train,True,0031,01,F,9.0,P,Coobix,Datie,3,2854.0
