PassengerId,HomePlanet,Cabin,Destination,Group,GroupNumber,Deck,Number,Side,Set,LastName,GroupSize
0001_01,Europa,B/0/P,TRAPPIST-1e,0001,01,B,0.0,P,Train,Ofracculy,1
0002_01,Earth,F/0/S,TRAPPIST-1e,0002,01,F,0.0,S,Train,Vines,1
0003_01,Europa,A/0/S,TRAPPIST-1e,0003,01,A,0.0,S,Train,Susent,2
0003_02,Europa,A/0/S,TRAPPIST-1e,0003,02,A,0.0,S,Train,Susent,2
0004_01,Earth,F/1/S,TRAPPIST-1e,0004,01,F,1.0,S,Train,Santantines,1
0005_01,Earth,F/0/P,PSO J318.5-22,0005,01,F,0.0,P,Train,Hinetthews,1
0006_01,Earth,F/2/S,TRAPPIST-1e,0006,01,F,2.0,S,Train,Jacostaffey,2
0006_02,Earth,G/0/S,TRAPPIST-1e,0006,02,G,0.0,S,Train,Jacostaffey,2
0007_01,Earth,F/3/S,TRAPPIST-1e,0007,01,F,3.0,S,Train,Beston,1
0008_01,Europa,B/1/P,55 Cancri e,0008,01,B,1.0,P,Train,Flatic,3
0008_02,Europa,B/1/P,TRAPPIST-1e,0008,02,B,1.0,P,Train,Flatic,3
0008_03,Europa,B/1/P,55 Cancri e,0008,03,B,1.0,P,Train,Flatic,3
0009_01,Mars,F/1/P,TRAPPIST-1e,0009,01,F,1.0,P,Train,Barne,1
0010_01,Earth,G/1/S,TRAPPIST-1e,0010,01,G,1.0,S,Train,Baketton,1
0011_01,Earth,F/2/P,TRAPPIST-1e,0011,01,F,2.0,P,Train,Bertsontry,1
0012_01,Earth,,TRAPPIST-1e,0012,01,,,,Train,Pooles,1
0013_01,Earth,G/3/S,TRAPPIST-1e,0013,01,G,3.0,S,Test,Carsoning,1
0014_01,Mars,F/3/P,55 Cancri e,0014,01,F,3.0,P,Train,Eccle,1
0015_01,Earth,F/4/P,55 Cancri e,0015,01,F,4.0,P,Train,Hughriend,1
0016_01,Mars,F/5/P,TRAPPIST-1e,0016,01,F,5.0,P,Train,Upead,1
0017_01,Earth,G/0/P,TRAPPIST-1e,0017,01,G,0.0,P,Train,Brighttt,2
0017_02,Earth,F/6/P,55 Cancri e,0017,02,F,6.0,P,Train,Brighttt,2
0018_01,Earth,F/4/S,TRAPPIST-1e,0018,01,F,4.0,S,Test,Peckers,1
0019_01,Europa,C/0/S,55 Cancri e,0019,01,C,0.0,S,Test,Unhearfus,1
0020_01,Earth,E/0/S,TRAPPIST-1e,0020,01,E,0.0,S,Train,Brantuarez,6
0020_02,Earth,E/0/S,55 Cancri e,0020,02,E,0.0,S,Train,Brantuarez,6
0020_03,Earth,E/0/S,55 Cancri e,0020,03,E,0.0,S,Train,Mcfaddennon,6
0020_04,Earth,E/0/S,TRAPPIST-1e,0020,04,E,0.0,S,Train,Jacostanley,6
0020_05,Earth,E/0/S,PSO J318.5-22,0020,05,E,0.0,S,Train,Brantuarez,6
0020_06,Earth,E/0/S,TRAPPIST-1e,0020,06,E,0.0,S,Train,Mcfaddennon,6
0021_01,Europa,C/1/S,TRAPPIST-1e,0021,01,C,1.0,S,Test,Caltilter,1
0022_01,Mars,D/0/P,TRAPPIST-1e,0022,01,D,0.0,P,Train,,1
0023_01,Earth,F/5/S,TRAPPIST-1e,0023,01,F,5.0,S,Test,Harperez,1
0024_01,Europa,C/2/S,TRAPPIST-1e,0024,01,C,2.0,S,Train,Fullided,1
0025_01,Earth,F/6/S,TRAPPIST-1e,0025,01,F,6.0,S,Train,Brookenson,1
0026_01,Europa,C/0/P,55 Cancri e,0026,01,C,0.0,P,Train,Unconary,1
0027_01,Earth,F/7/P,TRAPPIST-1e,0027,01,F,7.0,P,Test,Ricks,1
0028_01,Mars,F/8/P,TRAPPIST-1e,0028,01,F,8.0,P,Train,Mare,1
0029_01,Europa,B/2/P,55 Cancri e,0029,01,B,2.0,P,Test,Ainserfle,1
0030_01,Earth,G/4/S,TRAPPIST-1e,0030,01,G,4.0,S,Train,Morsentley,1
0031_01,Mars,F/9/P,TRAPPIST-1e,0031,01,F,9.0,P,Train,Datie,3
0031_02,Mars,F/9/P,TRAPPIST-1e,0031,02,F,9.0,P,Train,Datie,3
0031_03,Mars,F/9/P,TRAPPIST-1e,0031,03,F,9.0,P,Train,Datie,3
0032_01,Europa,D/0/S,TRAPPIST-1e,0032,01,D,0.0,S,Test,Pringry,2
0032_02,Europa,D/0/S,55 Cancri e,0032,02,D,0.0,S,Test,Pringry,2
0033_01,Earth,F/7/S,55 Cancri e,0033,01,F,7.0,S,Test,Delazarson,1
0034_01,Europa,D/1/S,55 Cancri e,0034,01,D,1.0,S,Train,Oingwhedly,1
0035_01,Mars,D/1/P,55 Cancri e,0035,01,D,1.0,P,Train,Butte,1
0036_01,Earth,F/8/S,55 Cancri e,0036,01,F,8.0,S,Train,Leodger,1
0037_01,Earth,F/9/S,TRAPPIST-1e,0037,01,F,9.0,S,Test,Rickson,1
0038_01,Earth,F/10/S,55 Cancri e,0038,01,F,10.0,S,Train,Wheelez,1
